




============================================================================
Função: Griewangk
============================================================================
P = 16;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:   83653  -->  fx: 2,746045544485710E-02  -->  sd:1,957829378189660E-02
P =  8;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:   90343  -->  fx: 2,746233266209730E-02  -->  sd:2,228525785593670E-02
P =  8;   s =  2;   std1 =  2,00;   tau =  4,50  -->  NFE:   86007  -->  fx: 2,754434954190020E-02  -->  sd:1,826400373448600E-02
P = 16;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:   82455  -->  fx: 2,795079870961480E-02  -->  sd:2,520973053536440E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  4,50  -->  NFE:   87343  -->  fx: 2,844320742291470E-02  -->  sd:2,350117873672910E-02
P = 16;   s =  1;   std1 =  4,00;   tau =  5,00  -->  NFE:   79630  -->  fx: 2,868778118321000E-02  -->  sd:2,456666164961230E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:   88843  -->  fx: 2,892876957911250E-02  -->  sd:1,773915065256730E-02
P =  8;   s =  2;   std1 =  4,00;   tau =  5,00  -->  NFE:   76873  -->  fx: 2,893349235089400E-02  -->  sd:2,588646014781630E-02
P = 16;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:   85387  -->  fx: 2,934296901592770E-02  -->  sd:2,348069028454350E-02
P = 16;   s =  2;   std1 =  2,00;   tau =  0,50  -->  NFE:  100153  -->  fx: 2,934513466070870E-02  -->  sd:5,751038042081060E-02
