




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,568607308566080E+01  -->  sd:8,938305647109570E+00
P =  4;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,742157709615440E+01  -->  sd:8,152191046592230E+00
P = 12;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 2,857888310678230E+01  -->  sd:1,587857478841430E+01
P =  4;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,328019737609400E+01  -->  sd:1,017491266877100E+01
P =  4;   s = 10;   porc =  0,10;   tau =  1,50  -->  NFE:  100036  -->  fx: 3,354598827648030E+01  -->  sd:1,239276176216170E+01
P =  4;   s = 10;   porc =  0,10;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,708465363259810E+01  -->  sd:1,102150436760520E+01
P =  4;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100036  -->  fx: 3,788835888875520E+01  -->  sd:1,313204479442750E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,110372503170710E+01  -->  sd:1,198493030006990E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100036  -->  fx: 4,285303117467220E+01  -->  sd:1,031971658917070E+01
P =  4;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100036  -->  fx: 4,502126758581380E+01  -->  sd:1,938706345285500E+01
P =  4;   s = 10;   porc =  0,10;   tau =  4,50  -->  NFE:  100036  -->  fx: 4,622416075390530E+01  -->  sd:1,852002365545280E+01
P =  4;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100036  -->  fx: 4,820018488292930E+01  -->  sd:1,298168743966300E+01
P =  4;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100036  -->  fx: 5,489392698109950E+01  -->  sd:1,857893503417770E+01
P = 12;   s = 10;   porc = 50,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 5,901515806855320E+01  -->  sd:3,827157547574950E+01
P = 12;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100016  -->  fx: 6,480551232437420E+01  -->  sd:3,286525648907220E+01
P = 12;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100016  -->  fx: 7,010287365254610E+01  -->  sd:1,847966961229490E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100016  -->  fx: 7,276468979130840E+01  -->  sd:1,908977122529760E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100016  -->  fx: 7,582754903598260E+01  -->  sd:1,963798392910130E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100016  -->  fx: 7,733420659926380E+01  -->  sd:1,897225627399840E+01
P = 12;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100016  -->  fx: 7,779688642194620E+01  -->  sd:1,829392150558280E+01
P =  4;   s = 10;   porc =  0,10;   tau =  1,00  -->  NFE:  100036  -->  fx: 7,939238760194830E+01  -->  sd:2,569772255021520E+01
