




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Griewangk
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
12000;8,881784197001253E-17;0,26924640324101834;17,599887171467348;2,1316282072803005E-15;2,505359458222965;3,387308925677553;
14000;0;0,057202270454862966;16,83058215101583;2,6645352591003756E-16;1,450738896558288;2,151124063753691;
16000;0;0,005271716854987218;15,360439112983906;0;0,684567597623277;1,215013056335151;
18000;0;0,0010085484951432911;13,634714229678034;0;0,20561736740247527;0,589539771311282;
20000;0;0,00029693767081804265;11,110342380999613;0;0,07535937139621059;0,18743503516800972;
25000;0;1,3238342803045811E-05;4,98465843598421;0;0,0025634261490189657;0,001970295125730637;
30000;0;7,696582155602983E-07;1,8184187703849914;0;5,778871284656262E-05;6,760535080871933E-05;
35000;0;4,038154786556447E-07;0,5649549867606242;0;1,0111308345273074E-06;1,0476412982463045E-06;
40000;0;3,094566508821117E-07;0,03518578435103983;0;4,994276991965307E-09;1,7530460354464595E-07;
45000;0;1,5543068911938463E-07;0,00032779459669285416;0;1,2634086665741506E-09;1,989566209559257E-08;
50000;0;2,4280609611793126E-08;2,6098564004151114E-06;0;6,241274164153765E-10;1,5761964178295783E-09;
55000;0;1,1606549232823226E-08;3,862332240700539E-08;0;5,083281351403457E-10;9,555944480155176E-10;
60000;0;9,738844042317396E-09;8,41545189089743E-09;0;4,909642470352082E-10;7,683914837741668E-10;
65000;0;6,10717787452586E-09;3,2973057173535382E-09;0;4,752101823157773E-10;6,784127926096062E-10;
70000;0;4,434952671772407E-09;2,462937231939577E-09;0;4,692213728674233E-10;5,642109002224061E-10;
75000;0;4,249506613263065E-09;1,3947576427142394E-09;0;4,4604577809082004E-10;5,424140248067033E-10;
80000;0;4,008520271270299E-09;1,1088641116430153E-09;0;4,3955346029633803E-10;5,183455442647755E-10;
85000;0;3,7227170679443587E-09;1,0550590623381594E-09;0;4,378597040499699E-10;4,88296159062429E-10;
90000;0;3,4347819699576123E-09;9,357115082764267E-10;0;4,3062007293315217E-10;4,798648589598998E-10;
95000;0;2,6075388070978535E-09;8,757094605016391E-10;0;4,2827803525824494E-10;4,743635706461191E-10;
100000;0;2,6075388070978535E-09;8,111874727489976E-10;0;4,231369921114947E-10;4,686037335943638E-10;











============================================================================
Função: Beale
============================================================================
parameter;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
meanNFE;100000;100008;100008;100000;100008;100000;
meanFX;1,900656106375663E-09;0,03868672629342409;0,038079173385818274;1,3627216562950881E-08;0,6975807186844284;0,2475145609333437;
FXatual;1,900656106375663E-09;0,03868672629342409;0,038079173385818274;1,3627216562950881E-08;0,6975807186844284;0,2475145609333437;
medianFX;2,100909854022383E-11;1,821732920768374E-11;1,0685001875869994E-09;8,315676730965795E-09;1,130347316721129E-09;1,585942567467969E-11;
sdFX;9,63772872875959E-09;0,16800047097217688;0,16809774318295828;1,660392117391208E-08;2,0477849619475994;0,36125066148833884;
==========================================================
===> f(x) médio para cada NFE:
NFE;GEOreal2_O_VO;GEOreal2_P_VO;GEOreal2_N_VO;GEOreal2_O_DS;GEOreal2_P_DS;GEOreal2_N_DS;
5;6904,558990865442;2369,188737859925;10905,885178442164;11983,372820246974;15245,859759656978;14541,013770422625;
50;26,101657452901456;13,39579205393719;108,46733316625243;4,563585194317218;2745,7865330326367;4644,234692796391;
100;3,2746380995015656;2,4896084679062174;2,1698994043122073;2,3466611691103645;234,30508535805038;633,9689647573075;
500;0,5078355327569332;1,0258412764253395;0,7316233162503918;0,7237472639797946;1,6665045172759165;1,2834509647325678;
1000;0,4364401569424393;0,7196396463902685;0,6050766548461732;0,47222947365401113;0,93101378431402;0,6335533299014188;
1500;0,40332659762718964;0,6930874517862038;0,5284494455493848;0,3920355891226914;0,8467439100315627;0,6102187580566778;
2000;0,38252377173513363;0,6692510004280284;0,505713842097091;0,35016999449458014;0,8179429444178753;0,5949726273548832;
