




============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================













============================================================================
Função: griewangk
============================================================================
parameter;AGEO2;AGEO2var_5;AGEO2real1_P_AA;AGEO2real2_P_AA_p3;
4000;0,25125090518036525;0,20247702929220016;0,0006385465053044449;0,4914970700703225;
4500;0,22646146645139573;0,19030070257874118;0,0006134205346601915;0,4703915228395339;
5000;0,21726519866844549;0,17884389173152737;0,0004671064982553391;0,4510356012558451;
6000;0,19194777561139195;0,13403373077697953;0,0003921823549120202;0,41280420732304907;
7000;0,167999586016298;0,09217802708486918;0,00037230773290865396;0,37782787081809155;
8000;0,15521387030093156;0,08726543641785617;0,00035337802562487213;0,35030376330643614;
9000;0,1418739194520029;0,05708129213662809;0,00034159042374430707;0,3279149260301139;
10000;0,11166582369397281;0,043080076994559534;0,00029167506775871024;0,3098337752178588;
12000;0,08919010547734381;0,033758681665162875;0,00023667470226047948;0,2794498533977849;
14000;0,06763870436321305;0,023234143598410157;0,00021408195411086274;0,24206872321421366;
16000;0,050317434667998845;0,022469874867173504;0,0001763338299321446;0,21369570434309432;
18000;0,050011488120032664;0,007258895349165403;0,00012865972393446792;0,2035610727084549;
20000;0,050011488120032664;0,0036198513329432557;0,00012063588597148503;0,18037239596256338;
25000;0,03739603977101027;0,003086357534444734;9,373704777672804E-05;0,11285970479131054;
30000;0,03263114946145728;0,0023416783507127312;8,220122526261468E-05;0,11268779557095249;
35000;0,03210114530258351;0,00216176615488233;7,34278460010381E-05;0,07757820596197096;
40000;0,03154111010489076;0,0013852872918879103;5,426874905067249E-05;0,07619968361674298;
45000;0,03143790100274423;0,0010207474915284577;4,650641981034382E-05;0,032987487046293375;
50000;0,03140951622897785;0,0009188889840566206;4,482005536983922E-05;0,0158311107542014;
55000;0,03140486485245707;0,0009157156104379522;4,135039171516897E-05;0,015231688298820278;
60000;0,031218772313509745;0,0005892299719517637;3,74382715366413E-05;0,015231666389437872;
65000;0,0312088099266769;0,0005540013083727801;3,638999519820724E-05;0,015231666383188817;
70000;0,031199554059842004;0,00024745083037822226;3,4875463912512925E-05;0,015231666360725586;
75000;0,03119422896922118;0,00024379298972743927;3,4364957598966734E-05;0,008100453145846712;
80000;0,031183528208974663;0,00024379298972743927;3,4364957598966734E-05;4,923735104348849E-07;
85000;0,031183528208974663;0,00022510627263082038;3,377036863712884E-05;4,83211355019522E-10;
90000;0,031180869330404527;0,0001994156521694139;3,1937174755070206E-05;4,379228119027242E-10;
95000;0,03117221806842667;0,00017814456196897817;2,854815300536925E-05;4,3790513418754427E-10;
100000;0,031170508591116475;0,0001763445578124358;2,7551943235967896E-05;4,1847881246955243E-10;



Execution Time: 674 s
