


============================================================================
============================================================================
TUNING GEO REAL2 P DS
============================================================================
============================================================================



============================================================================
Função: Griewangk
============================================================================
P = 10;   s = 10;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,684272706145010E+02  -->  sd:5,182858773617290E+01





============================================================================
Função: Rastringin
============================================================================
P = 10;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:   59613  -->  fx: 1,894780628693600E-15  -->  sd:3,195853857880620E-15
P = 10;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:   82366  -->  fx: 4,736951571734000E-15  -->  sd:4,695938232055620E-15
P = 10;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,610563534389560E-14  -->  sd:8,935930748490600E-15
P = 10;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,926429634603360E-14  -->  sd:1,291888458489860E-14
P = 10;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 7,555437756915730E-14  -->  sd:2,195861564044070E-14
P = 10;   s = 10;   porc = 50,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 1,927939289695740E-13  -->  sd:1,056006502908890E-13
P = 10;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,255144550474750E-13  -->  sd:1,624975858970060E-12
P = 10;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 6,067798115812670E-12  -->  sd:1,376433485313310E-11
P = 10;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,745497968386190E-10  -->  sd:3,232946447535990E-10
P = 10;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,212231429311340E-08  -->  sd:2,032982483665360E-08
P = 10;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100000  -->  fx: 4,954162150501890E-06  -->  sd:1,287173375033150E-05
P =  5;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 1,742579421204480E-05  -->  sd:3,638940148665340E-06
P =  5;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 2,433316074312110E-05  -->  sd:6,048793677150680E-06
P =  5;   s = 10;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 4,860962475963980E-05  -->  sd:1,713393883597510E-05
P =  5;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 1,762022532202440E-04  -->  sd:1,033388457047530E-04
P =  5;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,628546092206420E-04  -->  sd:1,120338146569850E-04
P = 10;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:  100000  -->  fx: 6,070320730463170E-04  -->  sd:1,279406829536540E-04
P = 10;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,352838037867530E-04  -->  sd:1,278766677305940E-04
P =  5;   s = 10;   porc = 50,00;   tau =  4,50  -->  NFE:  100000  -->  fx: 6,379654459280460E-04  -->  sd:1,187116602872970E-04
P = 10;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100000  -->  fx: 7,089745267284310E-04  -->  sd:1,421658171998380E-04
P = 10;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100000  -->  fx: 8,903172752605810E-04  -->  sd:1,532137406785380E-04
