




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   porc =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,525068547044720E+00  -->  sd:7,244194478327800E-01
P =  4;   s = 10;   porc =  5,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 2,775862739610160E+00  -->  sd:7,676145056956340E-01
P =  4;   s =  2;   porc = 50,00;   tau =  2,00  -->  NFE:  100000  -->  fx: 3,003798367854790E+00  -->  sd:5,898853828552610E-01
P = 12;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 3,232324442132910E+00  -->  sd:1,375457601696860E+00
P =  4;   s = 10;   porc =  0,10;   tau =  2,00  -->  NFE:  100000  -->  fx: 4,226698542572270E+00  -->  sd:2,336242267243720E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,50  -->  NFE:  100000  -->  fx: 5,574671140935180E+00  -->  sd:1,312092472284980E+00
P =  4;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 6,594031739337400E+00  -->  sd:3,979074592025530E+00
P = 12;   s = 10;   porc =  1,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 6,664653476948690E+00  -->  sd:6,999851882496740E+00
P =  4;   s =  2;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 7,003217867297220E+00  -->  sd:2,521390306485150E+00
P =  4;   s = 10;   porc =  0,10;   tau =  2,50  -->  NFE:  100000  -->  fx: 8,577672088607880E+00  -->  sd:3,748718317331680E+00
P =  4;   s = 10;   porc = 10,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 9,263159978522250E+00  -->  sd:4,077132065517250E+00
P =  4;   s = 10;   porc =  0,10;   tau =  1,00  -->  NFE:  100000  -->  fx: 9,528457144833600E+00  -->  sd:5,126377010665090E+00
P =  4;   s =  2;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,402476992616420E+01  -->  sd:4,829739811993180E+00
P =  4;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100000  -->  fx: 1,551977166207130E+01  -->  sd:6,235667918786460E+00
P =  4;   s = 10;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,670407420642700E+01  -->  sd:6,989256382534350E+00
P =  4;   s =  2;   porc = 50,00;   tau =  1,00  -->  NFE:  100000  -->  fx: 1,686713437672550E+01  -->  sd:4,969040308609520E+00
P = 12;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,986511215141990E+01  -->  sd:1,062153169119730E+01
P =  4;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,117881456627140E+01  -->  sd:8,233066152567280E+00
P =  4;   s = 10;   porc =  0,10;   tau =  3,50  -->  NFE:  100000  -->  fx: 2,355913060766060E+01  -->  sd:8,033910189229470E+00
P =  4;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,035742847948540E+01  -->  sd:1,143662827965930E+01
P =  4;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100000  -->  fx: 3,142301099192130E+01  -->  sd:1,013110431928880E+01
P =  4;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 3,659238497787250E+01  -->  sd:1,323679092805350E+01
P =  4;   s = 10;   porc =  0,10;   tau =  4,50  -->  NFE:  100000  -->  fx: 4,062852670267480E+01  -->  sd:1,097499414922500E+01
P =  4;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100000  -->  fx: 4,116479217514950E+01  -->  sd:1,600323691814610E+01
P =  4;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,304594206425930E+01  -->  sd:1,640104480938990E+01
P =  4;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100000  -->  fx: 4,862546357688330E+01  -->  sd:1,546773466835350E+01
P = 12;   s = 10;   porc = 50,00;   tau =  0,50  -->  NFE:  100068  -->  fx: 5,071133479122300E+01  -->  sd:3,863507964618460E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,00  -->  NFE:  100068  -->  fx: 5,360428345991260E+01  -->  sd:1,352629854908280E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 5,803646494775530E+01  -->  sd:1,240951417754350E+01
P = 12;   s = 10;   porc =  0,10;   tau =  3,00  -->  NFE:  100068  -->  fx: 5,949647299817960E+01  -->  sd:1,572669954721710E+01
P = 12;   s =  2;   porc =  0,10;   tau =  2,50  -->  NFE:  100068  -->  fx: 5,970317428152290E+01  -->  sd:1,600542010621180E+01
P = 12;   s = 10;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,177473214892760E+01  -->  sd:1,795862503457260E+01
P = 12;   s = 10;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,180399970367820E+01  -->  sd:1,870791008313470E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,237588864282870E+01  -->  sd:1,887723495287760E+01
