




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  0,10;   tau =  3,50  -->  NFE:  100068  -->  fx: 6,259141405889850E+01  -->  sd:1,685270892462660E+01
P = 12;   s =  1;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,338503478942580E+01  -->  sd:1,944714373389800E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,00  -->  NFE:  100068  -->  fx: 6,389354405534820E+01  -->  sd:1,620073917090390E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,50  -->  NFE:  100068  -->  fx: 6,446841447083800E+01  -->  sd:1,785012863320770E+01
P = 12;   s =  2;   porc =  0,10;   tau =  5,00  -->  NFE:  100068  -->  fx: 6,518828324759270E+01  -->  sd:2,003951773853000E+01
P = 12;   s =  2;   porc =  0,10;   tau =  4,50  -->  NFE:  100068  -->  fx: 6,619156892012800E+01  -->  sd:2,095052059477970E+01
P = 12;   s =  2;   porc =  0,10;   tau =  1,00  -->  NFE:  100068  -->  fx: 1,181227875128080E+02  -->  sd:2,977822681975520E+01
P =  4;   s =  2;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,408578277183000E+02  -->  sd:6,054051736137880E+01
P = 12;   s =  1;   porc =  0,10;   tau =  0,50  -->  NFE:  100068  -->  fx: 1,658857608030990E+02  -->  sd:3,572303154750030E+01
P =  4;   s =  1;   porc = 50,00;   tau =  0,50  -->  NFE:  100000  -->  fx: 1,922959780789180E+02  -->  sd:6,138492649657670E+01
P = 12;   s =  2;   porc =  0,10;   tau =  0,50  -->  NFE:  100068  -->  fx: 2,087162144418770E+02  -->  sd:4,084240674451900E+01





============================================================================
Função: Rastringin
============================================================================
P = 12;   s =  2;   porc = 10,00;   tau =  5,00  -->  NFE:   33018  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 12;   s =  2;   porc = 10,00;   tau =  4,50  -->  NFE:   52220  -->  fx: 1,015061051085860E-15  -->  sd:2,532007119881280E-15
P = 12;   s =  2;   porc = 50,00;   tau =  5,00  -->  NFE:   56567  -->  fx: 1,522591576628790E-15  -->  sd:2,969041524769070E-15
P = 12;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:   73643  -->  fx: 3,552713678800500E-15  -->  sd:4,102320397618270E-15
P = 12;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:   77456  -->  fx: 4,314009467114890E-15  -->  sd:6,218255861373010E-15
P = 12;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:   95325  -->  fx: 1,015061051085860E-14  -->  sd:6,817637816699330E-15
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:   97881  -->  fx: 5,151434834260730E-14  -->  sd:1,256204219716020E-13
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 3,720198752229670E-13  -->  sd:8,634130356457400E-13
P = 12;   s =  1;   porc = 10,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 1,557103652365710E-12  -->  sd:4,381988064408530E-13
P = 12;   s =  1;   porc = 10,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 2,135688451484640E-12  -->  sd:6,113678745396260E-13
P = 12;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 5,417380829645220E-12  -->  sd:4,214567810098400E-12
P = 12;   s =  1;   porc = 50,00;   tau =  5,00  -->  NFE:  100016  -->  fx: 3,667745472414810E-11  -->  sd:1,120463094288040E-11
P = 12;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 3,872204144629770E-11  -->  sd:3,353462379478830E-11
P = 12;   s =  1;   porc = 50,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 5,431642437412980E-11  -->  sd:1,767192972108010E-11
